age	infectedPct	noAction	25y3	25y5	25y10	50y3	50y5	50y10	75y3	75y5	75y10	
0	0	0	0	0	0	0	0	0	0	0	0
1	0.001731872691	0	0	0	0	0	0	0	0	0	0
2	0.00299763585	99.70023641	99.70023641	99.70023641	99.70023641	99.70023641	99.70023641	99.70023641	99.70023641	99.70023641	99.70023641
3	0.005183277713	99.58784033	99.65331195	99.58784033	99.58784033	99.71045012	99.58784033	99.58784033	99.76030689	99.58784033	99.58784033
4	0.0089469705	99.21594984	99.4269264	99.21594984	99.21594984	99.58784033	99.21594984	99.21594984	99.71045012	99.21594984	99.21594984
5	0.0153975657	98.57856653	99.08709132	98.77116138	98.57856653	99.4269264	98.93969257	98.57856653	99.65331195	99.08709132	98.57856653
6	0.02636433209	97.49494035	98.57856653	98.10754144	97.49494035	99.21594984	98.57856653	97.49494035	99.58784033	98.93969257	97.49494035
7	0.0447556197	95.67769722	97.82121184	97.12352297	95.67769722	98.93969257	98.10754144	95.67769722	99.51283474	98.77116138	95.67769722
8	0.07490102864	92.69902936	96.70118893	95.67769722	92.69902936	98.57856653	97.49494035	92.69902936	99.4269264	98.57856653	92.69902936
9	0.1225089926	87.99488644	95.06196851	93.58162468	87.99488644	98.10754144	96.70118893	87.99488644	99.32855614	98.35860065	87.99488644
10	0.1934503209	80.9851738	92.69902936	90.60118046	82.97826745	97.49494035	95.67769722	84.80781006	99.21594984	98.10754144	86.47794972
11	0.2905071866	71.39498489	89.36636018	86.47794972	76.50516007	96.70118893	94.36619416	80.9851738	99.08709132	97.82121184	84.80781006
12	0.4088565026	59.70088897	84.80781006	80.9851738	68.62864591	95.67769722	92.69902936	76.50516007	98.93969257	97.49494035	82.97826745
13	0.5344828306	47.28775151	78.82696222	74.02484341	59.70088897	94.36619416	90.60118046	71.39498489	98.77116138	97.12352297	80.9851738
14	0.6496495298	35.90812996	71.39498489	65.74296865	50.36005229	92.69902936	87.99488644	65.74296865	98.57856653	96.70118893	78.82696222
15	0.7418776807	26.79506637	62.75893634	56.5958064	41.37084858	90.60118046	84.80781006	59.70088897	98.35860065	96.22157291	76.50516007
16	0.8080639896	20.25519719	53.47239675	47.28775151	33.38976426	87.99488644	80.9851738	53.47239675	98.10754144	95.67769722	74.02484341
17	0.8519139941	15.92237824	44.28299382	38.57318537	26.79506637	84.80781006	76.50516007	47.28775151	97.82121184	95.06196851	71.39498489
18	0.879448176	13.20172573	35.90812996	31.02806327	21.66192933	80.9851738	71.39498489	41.37084858	97.49494035	94.36619416	68.62864591
19	0.8961590653	11.55052276	28.82904143	24.92529164	17.84913247	76.50516007	65.74296865	35.90812996	97.12352297	93.58162468	65.74296865
20	0.9060925102	10.56899907	23.21615944	20.25519719	15.11439487	71.39498489	59.70088897	31.02806327	96.70118893	92.69902936	62.75893634
21	0.9119244317	9.992746907	18.9873776	16.8307367	13.20172573	65.74296865	53.47239675	26.79506637	96.22157291	91.70881283	59.70088897
22	0.9153234362	9.656891268	15.92237824	14.3974529	11.88747489	59.70088897	47.28775151	23.21615944	95.67769722	90.60118046	56.5958064
23	0.9172960427	9.461978025	13.7626751	12.70686051	10.99535965	53.47239675	41.37084858	20.25519719	95.06196851	89.36636018	53.47239675
24	0.9184380102	9.349140214	12.27094887	11.55052276	10.39479207	47.28775151	35.90812996	17.84913247	94.36619416	87.99488644	50.36005229
25	0.9190981625	9.283910562	11.25475101	10.76805276	9.992746907	41.37084858	31.02806327	15.92237824	93.58162468	86.47794972	47.28775151
